Gen 1:1
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἀνάστητε VH--AAD2P- ἵστημι ἀνα
καὶ C--------- καί
ἐξέλθατε VB--AAD2P- ἔρχομαι ἐκ
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
τόπου N2--GSM--- τόπος
τούτου RD--GSM--- οὗτος
ὅτι C--------- ὅτι
ἐκτρίβει V1--PAI3S- τρίβω ἐκ
κύριος N2--NSM--- κύριος
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
ἔδοξεν VAI-AAI3S- δοκέω
δὲ X--------- δέ
γελοιάζειν V1--PAN--- γελοιάζω
ἐναντίον P--------- ἐναντίον
τῶν RA--GPM--- ὁ
γαμβρῶν N2--GPM--- γαμβρός
αὐτοῦ RD--GSM--- αὐτός

Gen 19:15
ἡνίκα D--------- ἡνίκα
δὲ X--------- δέ
ὄρθρος N2--NSM--- ὄρθρος
ἐγίνετο V1I-IMI3S- γίγνομαι
ἐπεσπούδαζον V1I-IAI3P- σπουδάζω ἐπι
οἱ RA--NPM--- ὁ
ἄγγελοι N2--NPM--- ἄγγελος
τὸν RA--ASM--- ὁ
Λωτ N---ASM--- Λωτ
λέγοντες V1--PAPNPM λέγω
ἀναστὰς VH--AAPNSM ἵστημι ἀνα
λαβὲ VB--AAD2S- λαμβάνω
τὴν RA--ASF--- ὁ
γυναῖκά N3K-ASF--- γυνή
σου RP--GS---- σύ
καὶ C--------- καί
τὰς RA--APF--- ὁ
δύο M--------- δύο
θυγατέρας N3--APF--- θυγάτηρ
σου RP--GS---- σύ
ἃς RR--APF--- ὅς
ἔχεις V1--PAI2S- ἔχω
καὶ C--------- καί
ἔξελθε VB--AAD2S- ἔρχομαι ἐκ
ἵνα C--------- ἵνα
μὴ D--------- μή
συναπόλῃ V5--PMS2S- ὀλλύω συν ἀπο
ταῖς RA--DPF--- ὁ
ἀνομίαις N1A-DPF--- ἀνομία
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις

Gen 19:16
καὶ C--------- καί
ἐταράχθησαν VQI-API3P- ταράσσω
καὶ C--------- καί
ἐκράτησαν VAI-AAI3P- κρατέω
οἱ RA--NPM--- ὁ
ἄγγελοι N2--NPM--- ἄγγελος
τῆς RA--GSF--- ὁ
χειρὸς N3--GSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τῆς RA--GSF--- ὁ
χειρὸς N3--GSF--- χείρ
τῆς RA--GSF--- ὁ
γυναικὸς N3K-GSF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τῶν RA--GPM--- ὁ
χειρῶν N3--GPF--- χείρ
τῶν RA--GPF--- ὁ
δύο M--------- δύο
θυγατέρων N3--GPF--- θυγάτηρ
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
φείσασθαι VA--AMN--- φείδομαι
κύριον N2--ASM--- κύριος
αὐτοῦ RD--GSM--- αὐτός

Gen 19:17
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἡνίκα D--------- ἡνίκα
ἐξήγαγον VBI-AAI3P- ἄγω ἐκ
αὐτοὺς RD--APM--- αὐτός
ἔξω D--------- ἔξω
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
σῴζων V1--PAPNSM σώζω
σῷζε V1--PAD2S- σώζω
τὴν RA--ASF--- ὁ
σεαυτοῦ RD--GSM--- σεαυτοῦ
ψυχήν N1--ASF--- ψυχή
μὴ D--------- μή
περιβλέψῃς VA--AAS2S- βλέπω περι
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ὀπίσω P--------- ὀπίσω
μηδὲ C--------- μηδέ
στῇς VH--AAS2S- ἵστημι
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
περιχώρῳ A1B-DSF--- περίχωρος
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
ὄρος N3E-ASN--- ὄρος
σῴζου V1--PMD2S- σώζω
μήποτε D--------- μήποτε
συμπαραλημφθῇς VV--APS2S- λαμβάνω συν παρα

Gen 19:18
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Λωτ N---NSM--- Λωτ
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
δέομαι V1--PMI1S- δέομαι
κύριε N2--VSM--- κύριος

Gen 19:19
ἐπειδὴ C--------- ἐπειδή
εὗρεν VB--AAI3S- εὑρίσκω
ὁ RA--NSM--- ὁ
παῖς N3D-NSM--- παῖς
σου RP--GS---- σύ
ἔλεος N3E-ASN--- ἔλεος
ἐναντίον P--------- ἐναντίον
σου RP--GS---- σύ
καὶ C--------- καί
ἐμεγάλυνας VAI-AAI2S- μεγαλύνω
τὴν RA--ASF--- ὁ
δικαιοσύνην N1--ASF--- δικαιοσύνη
σου RP--GS---- σύ
ὃ RR--ASN--- ὅς
ποιεῖς V2--PAI2S- ποιέω
ἐπ' P--------- ἐπί
ἐμέ RP--AS---- ἐγώ
τοῦ RA--GSN--- ὁ
ζῆν V3--PAN--- ζάω
τὴν RA--ASF--- ὁ
ψυχήν N1--ASF--- ψυχή
μου RP--GS---- ἐγώ
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
οὐ D--------- οὐ
δυνήσομαι VF--FMI1S- δύναμαι
διασωθῆναι VC--APN--- σώζω δια
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
ὄρος N3E-ASN--- ὄρος
μὴ D--------- μή
καταλάβῃ VB--AAS3S- λαμβάνω κατα
με RP--AS---- ἐγώ
τὰ RA--NPN--- ὁ
κακὰ A1--NPN--- κακός
καὶ C--------- καί
ἀποθάνω VB--AAS1S- θνήσκω ἀπο

Gen 19:20
ἰδοὺ I--------- ἰδού
ἡ RA--NSF--- ὁ
πόλις N3I-NSF--- πόλις
αὕτη RD--NSF--- οὗτος
ἐγγὺς D--------- ἐγγύς
τοῦ RA--GSN--- ὁ
καταφυγεῖν VB--AAN--- φεύγω κατα
με RP--AS---- ἐγώ
ἐκεῖ D--------- ἐκεῖ
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
μικρά A1A-NSF--- μικρός
ἐκεῖ D--------- ἐκεῖ
σωθήσομαι VC--FPI1S- σώζω
οὐ D--------- οὐ
μικρά A1A-NSF--- μικρός
ἐστιν V9--PAI3S- εἰμί
καὶ C--------- καί
ζήσεται VF--FMI3S- ζάω
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
μου RP--GS---- ἐγώ

Gen 19:21
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἰδοὺ I--------- ἰδού
ἐθαύμασά VAI-AAI1S- θαυμάζω
σου RP--GS---- σύ
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τῷ RA--DSN--- ὁ
ῤήματι N3M-DSN--- ῤῆμα
τούτῳ RD--DSN--- οὗτος
τοῦ RA--GSN--- ὁ
μὴ D--------- μή
καταστρέψαι VA--AAN--- στρέφω κατα
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
περὶ P--------- περί
ἧς RR--GSF--- ὅς
ἐλάλησας VAI-AAI2S- λαλέω

Gen 19:22
σπεῦσον VA--AAD2S- σπεύδω
οὖν X--------- οὖν
τοῦ RA--GSN--- ὁ
σωθῆναι VC--APN--- σώζω
ἐκεῖ D--------- ἐκεῖ
οὐ D--------- οὐ
γὰρ X--------- γάρ
δυνήσομαι VF--FMI1S- δύναμαι
ποιῆσαι VA--AAN--- ποιέω
πρᾶγμα N3M-ASN--- πρᾶγμα
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
σε RP--AS---- σύ
εἰσελθεῖν VB--AAN--- ἔρχομαι εἰς
ἐκεῖ D--------- ἐκεῖ
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἐκάλεσεν VAI-AAI3S- καλέω
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
ἐκείνης RD--GSF--- ἐκεῖνος
Σηγωρ N---AS---- Σηγωρ

Gen 19:23
ὁ RA--NSM--- ὁ
ἥλιος N2--NSM--- ἥλιος
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
Λωτ N---NSM--- Λωτ
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
Σηγωρ N---AS---- Σηγωρ

Gen 19:24
καὶ C--------- καί
κύριος N2--NSM--- κύριος
ἔβρεξεν VAI-AAI3S- βρέχω
ἐπὶ P--------- ἐπί
Σοδομα N1--AS---- Σοδομα
καὶ C--------- καί
Γομορρα N---AS---- Γομορρα
θεῖον A1A-ASM--- θεῖος
καὶ C--------- καί
πῦρ N3--ASN--- πῦρ
παρὰ P--------- παρά
κυρίου N2--GSM--- κύριος
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός

Gen 19:25
καὶ C--------- καί
κατέστρεψεν VAI-AAI3S- στρέφω κατα
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
ταύτας RD--APF--- οὗτος
καὶ C--------- καί
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
περίοικον A1B-ASF--- περίοικος
καὶ C--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
πόλεσιν N3I-DPF--- πόλις
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ἀνατέλλοντα V1--PAPAPN τέλλω ἀνα
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 19:26
καὶ C--------- καί
ἐπέβλεψεν VAI-AAI3S- βλέπω ἐπι
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ὀπίσω P--------- ὀπίσω
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
στήλη N1--NSF--- στήλη
ἁλός N3--GSM--- ἅλς

Gen 19:27
ὤρθρισεν VAI-AAI3S- ὀρθρίζω
δὲ X--------- δέ
Αβρααμ N---NSM--- Αβρααμ
τὸ RA--ASN--- ὁ
πρωὶ D--------- πρωΐ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
οὗ D--------- οὗ
εἱστήκει VXI-YAI3S- ἵστημι
ἐναντίον P--------- ἐναντίον
κυρίου N2--GSM--- κύριος

Gen 19:28
καὶ C--------- καί
ἐπέβλεψεν VAI-AAI3S- βλέπω ἐπι
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
Σοδομων N1--GS---- Σοδομα
καὶ C--------- καί
Γομορρας N---GS---- Γομορρα
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
τῆς RA--GSF--- ὁ
περιχώρου A1B-GSF--- περίχωρος
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἀνέβαινεν V1I-IAI3S- βαίνω ἀνα
φλὸξ N3G-NSF--- φλόξ
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ὡσεὶ D--------- ὡσεί
ἀτμὶς N3D-NSF--- ἀτμίς
καμίνου N2--GSM--- κάμινος

Gen 19:29
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἐκτρῖψαι VA--AAN--- τρίβω ἐκ
κύριον N2--ASM--- κύριος
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
τῆς RA--GSF--- ὁ
περιοίκου A1B-GSF--- περίοικος
ἐμνήσθη VSI-API3S- μιμνήσκω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοῦ RA--GSM--- ὁ
Αβρααμ N---GSM--- Αβρααμ
καὶ C--------- καί
ἐξαπέστειλεν VAI-AAI3S- στέλλω ἐκ ἀπο
τὸν RA--ASM--- ὁ
Λωτ N---ASM--- Λωτ
ἐκ P--------- ἐκ
μέσου A1--GSM--- μέσος
τῆς RA--GSF--- ὁ
καταστροφῆς N1--GSF--- καταστροφή
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
καταστρέψαι VA--AAN--- στρέφω κατα
κύριον N2--ASM--- κύριος
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
ἐν P--------- ἐν
αἷς RR--DPF--- ὅς
κατῴκει V2I-IAI3S- οἰκέω κατα
ἐν P--------- ἐν
αὐταῖς RD--DPF--- αὐτός
Λωτ N---NSM--- Λωτ

Gen 19:30
ἀνέβη VZI-AAI3S- βαίνω ἀνα
δὲ X--------- δέ
Λωτ N---NSM--- Λωτ
ἐκ P--------- ἐκ
Σηγωρ N---GS---- Σηγωρ
καὶ C--------- καί
ἐκάθητο V1I-IMI3S- κάθημαι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ὄρει N3E-DSN--- ὄρος
καὶ C--------- καί
αἱ RA--NPF--- ὁ
δύο M--------- δύο
θυγατέρες N3--NPF--- θυγάτηρ
αὐτοῦ RD--GSM--- αὐτός
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
ἐφοβήθη VCI-API3S- φοβέω
γὰρ X--------- γάρ
κατοικῆσαι VA--AAN--- οἰκέω κατα
ἐν P--------- ἐν
Σηγωρ N---DS---- Σηγωρ
καὶ C--------- καί
ᾤκησεν VAI-AAI3S- οἰκέω
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
σπηλαίῳ N2N-DSN--- σπήλαιον
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
δύο M--------- δύο
θυγατέρες N3--NPF--- θυγάτηρ
αὐτοῦ RD--GSM--- αὐτός
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός

Gen 19:31
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
ἡ RA--NSF--- ὁ
πρεσβυτέρα A1A-NSFC-- πρεσβύτερος
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
νεωτέραν A1A-ASFC-- νέος
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
πρεσβύτερος A1A-NSMC-- πρεσβύτερος
καὶ C--------- καί
οὐδείς A3--NSM--- οὐδείς
ἐστιν V9--PAI3S- εἰμί
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ὃς RR--NSM--- ὅς
εἰσελεύσεται VF--FMI3S- ἔρχομαι εἰς
πρὸς P--------- πρός
ἡμᾶς RP--AP---- ἐγώ
ὡς C--------- ὡς
καθήκει V1--PAI3S- ἥκω κατα
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ

Gen 19:32
δεῦρο D--------- δεῦρο
καὶ C--------- καί
ποτίσωμεν VA--AAS1P- ποτίζω
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
οἶνον N2--ASM--- οἶνος
καὶ C--------- καί
κοιμηθῶμεν VC--APS1P- κοιμάω
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐξαναστήσωμεν VA--AAS1P- ἵστημι ἐκ ἀνα
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
σπέρμα N3M-ASN--- σπέρμα

Gen 19:33
ἐπότισαν VAI-AAI3P- ποτίζω
δὲ X--------- δέ
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
αὐτῶν RD--GPF--- αὐτός
οἶνον N2--ASM--- οἶνος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
νυκτὶ N3--DSF--- νύξ
ταύτῃ RD--DSF--- οὗτος
καὶ C--------- καί
εἰσελθοῦσα VB--AAPNSF ἔρχομαι εἰς
ἡ RA--NSF--- ὁ
πρεσβυτέρα A1A-NSFC-- πρεσβύτερος
ἐκοιμήθη VCI-API3S- κοιμάω
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
αὐτῆς RD--GSF--- αὐτός
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
ἐκείνην RD--ASF--- ἐκεῖνος
καὶ C--------- καί
οὐκ D--------- οὐ
ᾔδει VXI-YAI3S- οἶδα
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
κοιμηθῆναι VC--APN--- κοιμάω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἀναστῆναι VH--AAN--- ἵστημι ἀνα

Gen 19:34
ἐγένετο VBI-AMI3S- γίγνομαι
δὲ X--------- δέ
τῇ RA--DSF--- ὁ
ἐπαύριον D--------- ἐπαύριον
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἡ RA--NSF--- ὁ
πρεσβυτέρα A1A-NSFC-- πρεσβύτερος
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
νεωτέραν A1A-ASFC-- νέος
ἰδοὺ I--------- ἰδού
ἐκοιμήθην VCI-API1S- κοιμάω
ἐχθὲς D--------- χθές
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
ποτίσωμεν VA--AAS1P- ποτίζω
αὐτὸν RD--ASM--- αὐτός
οἶνον N2--ASM--- οἶνος
καὶ C--------- καί
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
ταύτην RD--ASF--- οὗτος
καὶ C--------- καί
εἰσελθοῦσα VB--AAPNSF ἔρχομαι εἰς
κοιμήθητι VC--APD2S- κοιμάω
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐξαναστήσωμεν VA--AAS1P- ἵστημι ἐκ ἀνα
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
σπέρμα N3M-ASN--- σπέρμα

Gen 19:35
ἐπότισαν VAI-AAI3P- ποτίζω
δὲ X--------- δέ
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
νυκτὶ N3--DSF--- νύξ
ἐκείνῃ RD--DSF--- ἐκεῖνος
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
οἶνον N2--ASM--- οἶνος
καὶ C--------- καί
εἰσελθοῦσα VB--AAPNSF ἔρχομαι εἰς
ἡ RA--NSF--- ὁ
νεωτέρα A1A-NSFC-- νέος
ἐκοιμήθη VCI-API3S- κοιμάω
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ᾔδει VXI-YAI3S- οἶδα
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
κοιμηθῆναι VC--APN--- κοιμάω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἀναστῆναι VH--AAN--- ἵστημι ἀνα

Gen 19:36
καὶ C--------- καί
συνέλαβον VBI-AAI3P- λαμβάνω συν
αἱ RA--NPF--- ὁ
δύο M--------- δύο
θυγατέρες N3--NPF--- θυγάτηρ
Λωτ N---GSM--- Λωτ
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
αὐτῶν RD--GPF--- αὐτός

Gen 19:37
καὶ C--------- καί
ἔτεκεν VBI-AAI3S- τίκτω
ἡ RA--NSF--- ὁ
πρεσβυτέρα A1A-NSFC-- πρεσβύτερος
υἱὸν N2--ASM--- υἱός
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
Μωαβ N---ASM--- Μωαβ
λέγουσα V1--PAPNSF λέγω
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ
οὗτος RD--NSM--- οὗτος
πατὴρ N3--NSM--- πατήρ
Μωαβιτῶν N2--GPM--- Μωάβιτος
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
σήμερον D--------- σήμερον
ἡμέρας N1A-GSF--- ἡμέρα

Gen 19:38
ἔτεκεν VBI-AAI3S- τίκτω
δὲ X--------- δέ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
νεωτέρα A1A-NSFC-- νέος
υἱὸν N2--ASM--- υἱός
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
Αμμαν N---ASM--- Αμμαν
υἱὸς N2--NSM--- υἱός
τοῦ RA--GSN--- ὁ
γένους N3E-GSN--- γένος
μου RP--GS---- ἐγώ
οὗτος RD--NSM--- οὗτος
πατὴρ N3--NSM--- πατήρ
Αμμανιτῶν N1M-GPM--- Αμμανίτης
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
σήμερον D--------- σήμερον
ἡμέρας N1A-GSF--- ἡμέρα

Gen 20:1
καὶ C--------- καί
ἐκίνησεν VAI-AAI3S- κινέω
ἐκεῖθεν D--------- ἐκεῖθεν
Αβρααμ N---NSM--- Αβρααμ
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
πρὸς P--------- πρός
λίβα N3--ASM--- λίψ
καὶ C--------- καί
ᾤκησεν VAI-AAI3S- οἰκέω
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
Καδης N---GS---- Καδης
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
Σουρ N---GS---- Σουρ
καὶ C--------- καί
παρῴκησεν VAI-AAI3S- οἰκέω παρα
ἐν P--------- ἐν
Γεραροις N2--DP---- Γεραρα

Gen 20:2
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Αβρααμ N---NSM--- Αβρααμ
περὶ P--------- περί
Σαρρας N---GSF--- Σαρρα
τῆς RA--GSF--- ὁ
γυναικὸς N3K-GSF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
ἀδελφή N1--NSF--- ἀδελφή
μού RP--GS---- ἐγώ
ἐστιν V9--PAI3S- εἰμί
ἐφοβήθη VCI-API3S- φοβέω
γὰρ X--------- γάρ
εἰπεῖν VBI-AAN--- εἶπον
ὅτι C--------- ὅτι
γυνή N3K-NSF--- γυνή
μού RP--GS---- ἐγώ
ἐστιν V9--PAI3S- εἰμί
μήποτε D--------- μήποτε
ἀποκτείνωσιν VA--AAS3P- κτείνω ἀπο
αὐτὸν RD--ASM--- αὐτός
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
δι' P--------- διά
αὐτήν RD--ASF--- αὐτός
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
δὲ X--------- δέ
Αβιμελεχ N---NSM--- Αβιμελεχ
βασιλεὺς N3V-NSM--- βασιλεύς
Γεραρων N2--GP---- Γεραρα
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
τὴν RA--ASF--- ὁ
Σαρραν N---ASF--- Σαρρα

Gen 20:3
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
πρὸς P--------- πρός
Αβιμελεχ N---ASM--- Αβιμελεχ
ἐν P--------- ἐν
ὕπνῳ N2--DSM--- ὕπνος
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἰδοὺ I--------- ἰδού
σὺ RP--NS---- σύ
ἀποθνῄσκεις V1--PAI2S- θνήσκω ἀπο
περὶ P--------- περί
τῆς RA--GSF--- ὁ
γυναικός N3K-GSF--- γυνή
ἧς RR--GSF--- ὅς
ἔλαβες VBI-AAI2S- λαμβάνω
αὕτη RD--NSF--- οὗτος
δέ X--------- δέ
ἐστιν V9--PAI3S- εἰμί
συνῳκηκυῖα VX--XAPNSF οἰκέω συν
ἀνδρί N3--DSM--- ἀνήρ

Gen 20:4
Αβιμελεχ N---NSM--- Αβιμελεχ
δὲ X--------- δέ
οὐχ D--------- οὐ
ἥψατο VAI-AMI3S- ἅπτομαι
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριε N2--VSM--- κύριος
ἔθνος N3E-ASN--- ἔθνος
ἀγνοοῦν V2--PAPASN ἀγνοέω
καὶ C--------- καί
δίκαιον A1A-ASN--- δίκαιος
ἀπολεῖς VF2-FAI2S- ὀλλύω ἀπο

Gen 20:5
οὐκ D--------- οὐ
αὐτός RD--NSM--- αὐτός
μοι RP--DS---- ἐγώ
εἶπεν VBI-AAI3S- εἶπον
ἀδελφή N1--NSF--- ἀδελφή
μού RP--GS---- ἐγώ
ἐστιν V9--PAI3S- εἰμί
καὶ C--------- καί
αὐτή RD--NSF--- αὐτός
μοι RP--DS---- ἐγώ
εἶπεν VBI-AAI3S- εἶπον
ἀδελφός N2--NSM--- ἀδελφός
μού RP--GS---- ἐγώ
ἐστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
καθαρᾷ A1A-DSF--- καθαρός
καρδίᾳ N1A-DSF--- καρδία
καὶ C--------- καί
ἐν P--------- ἐν
δικαιοσύνῃ N1--DSF--- δικαιοσύνη
χειρῶν N3--GPF--- χείρ
ἐποίησα VAI-AAI1S- ποιέω
τοῦτο RD--ASN--- οὗτος

Gen 20:6
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
αὐτῷ RD--DSM--- αὐτός
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
καθ' P--------- κατά
ὕπνον N2--ASM--- ὕπνος
κἀγὼ C+RPNS---- καί+ἐγώ
ἔγνων VZI-AAI1S- γιγνώσκω
ὅτι C--------- ὅτι
ἐν P--------- ἐν
καθαρᾷ A1A-DSF--- καθαρός
καρδίᾳ N1A-DSF--- καρδία
ἐποίησας VAI-AAI2S- ποιέω
τοῦτο RD--ASN--- οὗτος
καὶ C--------- καί
ἐφεισάμην VAI-AMI1S- φείδομαι
ἐγώ RP--NS---- ἐγώ
σου RP--GS---- σύ
τοῦ RA--GSN--- ὁ
μὴ D--------- μή
ἁμαρτεῖν VB--AAN--- ἁμαρτάνω
σε RP--AS---- σύ
εἰς P--------- εἰς
ἐμέ RP--AS---- ἐγώ
ἕνεκεν P--------- ἕνεκεν
τούτου RD--GSM--- οὗτος
