Jer 1:1
ὑμᾶς RP--AP---- σύ
ἐμοί RP--DS---- ἐγώ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ὡς C--------- ὡς
ἐπελάθου VBI-AMI2S- λανθάνω ἐπι
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἤλπισας VAI-AAI2S- ἐλπίζω
ἐπὶ P--------- ἐπί
ψεύδεσιν A3H-DPM--- ψευδής

Jer 13:26
κἀγὼ C+RPNS---- καί+ἐγώ
ἀποκαλύψω VF--FAI1S- καλύπτω ἀπο
τὰ RA--APN--- ὁ
ὀπίσω D--------- ὀπίσω
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
πρόσωπόν N2N-ASN--- πρόσωπον
σου RP--GS---- σύ
καὶ C--------- καί
ὀφθήσεται VV--FPI3S- ὁράω
ἡ RA--NSF--- ὁ
ἀτιμία N1A-NSF--- ἀτιμία
σου RP--GS---- σύ

Jer 13:27
καὶ C--------- καί
ἡ RA--NSF--- ὁ
μοιχεία N1A-NSF--- μοιχεία
σου RP--GS---- σύ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
χρεμετισμός N2--NSM--- χρεμετισμός
σου RP--GS---- σύ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ἀπαλλοτρίωσις N3I-NSF--- ἀπαλλοτρίωσις
τῆς RA--GSF--- ὁ
πορνείας N1A-GSF--- πορνεία
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τῶν RA--GPM--- ὁ
βουνῶν N2--GPM--- βουνός
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
ἀγροῖς N2--DPM--- ἀγρός
ἑώρακα VX--XAI1S- ὁράω
τὰ RA--APN--- ὁ
βδελύγματά N3M-APN--- βδέλυγμα
σου RP--GS---- σύ
οὐαί I--------- οὐαί
σοι RP--DS---- σύ
Ιερουσαλημ N---VSF--- Ἰερουσαλήμ
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἐκαθαρίσθης VSI-API2S- καθαρίζω
ὀπίσω P--------- ὀπίσω
μου RP--GS---- ἐγώ
ἕως P--------- ἕως
τίνος RI--GSN--- τίς
ἔτι D--------- ἔτι

Jer 14:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρὸς P--------- πρός
Ιερεμιαν N1T-ASM--- Ἰερεμίας
περὶ P--------- περί
τῆς RA--GSF--- ὁ
ἀβροχίας N1A-GSF--- ἀβροχία

Jer 14:2
ἐπένθησεν VAI-AAI3S- πενθέω
ἡ RA--NSF--- ὁ
Ιουδαία N1A-NSF--- Ἰουδαία
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πύλαι N1--NPF--- πύλη
αὐτῆς RD--GSF--- αὐτός
ἐκενώθησαν VCI-API3P- κενόω
καὶ C--------- καί
ἐσκοτώθησαν VCI-API3P- σκοτόω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
κραυγὴ N1--NSF--- κραυγή
τῆς RA--GSF--- ὁ
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
ἀνέβη VZI-AAI3S- βαίνω ἀνα

Jer 14:3
καὶ C--------- καί
οἱ RA--NPM--- ὁ
μεγιστᾶνες N3--NPM--- μεγιστάν
αὐτῆς RD--GSF--- αὐτός
ἀπέστειλαν VAI-AAI3P- στέλλω ἀπο
τοὺς RA--APM--- ὁ
νεωτέρους A1A-APMC-- νέος
αὐτῶν RD--GPM--- αὐτός
ἐφ' P--------- ἐπί
ὕδωρ N3--ASN--- ὕδωρ
ἤλθοσαν VBI-AAI3P- ἔρχομαι
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
φρέατα N3T-APN--- φρέαρ
καὶ C--------- καί
οὐχ D--------- οὐ
εὕροσαν VA--AAI3P- εὑρίσκω
ὕδωρ N3--ASN--- ὕδωρ
καὶ C--------- καί
ἀπέστρεψαν VAI-AAI3P- στρέφω ἀπο
τὰ RA--APN--- ὁ
ἀγγεῖα N2N-APN--- ἀγγεῖον
αὐτῶν RD--GPM--- αὐτός
κενά A1--APN--- κενός

Jer 14:4
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ἔργα N2N-NPN--- ἔργον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐξέλιπεν VBI-AAI3S- λείπω ἐκ
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
ὑετός N2--NSM--- ὑετός
ᾐσχύνθησαν VCI-API3P- αἰσχύνω
γεωργοί N2--NPM--- γεωργός
ἐπεκάλυψαν VAI-AAI3P- καλύπτω ἐπι
τὴν RA--ASF--- ὁ
κεφαλὴν N1--ASF--- κεφαλή
αὐτῶν RD--GPM--- αὐτός

Jer 14:5
καὶ C--------- καί
ἔλαφοι N2--NPM--- ἔλαφος
ἐν P--------- ἐν
ἀγρῷ N2--DSM--- ἀγρός
ἔτεκον VBI-AAI3P- τίκτω
καὶ C--------- καί
ἐγκατέλιπον VBI-AAI3P- λείπω ἐν κατα
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
βοτάνη N1--NSF--- βοτάνη

Jer 14:6
ὄνοι N2--NPM--- ὄνος
ἄγριοι A1A-NPM--- ἄγριος
ἔστησαν VAI-AAI3P- ἵστημι
ἐπὶ P--------- ἐπί
νάπας N1--APF--- νάπη
εἵλκυσαν VAI-AAI3P- ἕλκω
ἄνεμον N2--ASM--- ἄνεμος
ἐξέλιπον VBI-AAI3P- λείπω ἐκ
οἱ RA--NPM--- ὁ
ὀφθαλμοὶ N2--NPM--- ὀφθαλμός
αὐτῶν RD--GPM--- αὐτός
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
χόρτος N2--NSM--- χόρτος
ἀπὸ P--------- ἀπό
λαοῦ N2--GSM--- λαός
ἀδικίας N1A-GSF--- ἀδικία

Jer 14:7
εἰ C--------- εἰ
αἱ RA--NPF--- ὁ
ἁμαρτίαι N1A-NPF--- ἁμαρτία
ἡμῶν RP--GP---- ἐγώ
ἀντέστησαν VHI-AAI3P- ἵστημι ἀντι
ἡμῖν RP--DP---- ἐγώ
κύριε N2--VSM--- κύριος
ποίησον VA--AAD2S- ποιέω
ἡμῖν RP--DP---- ἐγώ
ἕνεκεν P--------- ἕνεκεν
σοῦ RP--GS---- σύ
ὅτι C--------- ὅτι
πολλαὶ A1--NPF--- πολύς
αἱ RA--NPF--- ὁ
ἁμαρτίαι N1A-NPF--- ἁμαρτία
ἡμῶν RP--GP---- ἐγώ
ἐναντίον P--------- ἐναντίον
σοῦ RP--GS---- σύ
ὅτι C--------- ὅτι
σοὶ RP--DS---- σύ
ἡμάρτομεν VBI-AAI1P- ἁμαρτάνω

Jer 14:8
ὑπομονὴ N1--NSF--- ὑπομονή
Ισραηλ N---GSM--- Ἰσραήλ
κύριε N2--VSM--- κύριος
καὶ C--------- καί
σῴζεις V1--PAI2S- σώζω
ἐν P--------- ἐν
καιρῷ N2--DSM--- καιρός
κακῶν A1--GPM--- κακός
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
ἐγενήθης VCI-API2S- γίγνομαι
ὡσεὶ D--------- ὡσεί
πάροικος A1B-NSM--- πάροικος
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ὡς C--------- ὡς
αὐτόχθων N3N-NSM--- αὐτόχθων
ἐκκλίνων V1--PAPNSM κλίνω ἐκ
εἰς P--------- εἰς
κατάλυμα N3M-ASN--- κατάλυμα

Jer 14:9
μὴ D--------- μή
ἔσῃ VF--FMI2S- εἰμί
ὥσπερ D--------- ὥσπερ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ὑπνῶν V4--PAPNSM ὑπνόω
ἢ C--------- ἤ
ὡς C--------- ὡς
ἀνὴρ N3--NSM--- ἀνήρ
οὐ D--------- οὐ
δυνάμενος V6--PMPNSM δύναμαι
σῴζειν V1--PAN--- σώζω
καὶ C--------- καί
σὺ RP--NS---- σύ
ἐν P--------- ἐν
ἡμῖν RP--DP---- ἐγώ
εἶ V9--PAI2S- εἰμί
κύριε N2--VSM--- κύριος
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ὄνομά N3M-NSN--- ὄνομα
σου RP--GS---- σύ
ἐπικέκληται VM--XMI3S- καλέω ἐπι
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ
μὴ D--------- μή
ἐπιλάθῃ VB--AAS3S- λανθάνω ἐπι
ἡμῶν RP--GP---- ἐγώ

Jer 14:10
οὕτως D--------- οὕτως
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
τούτῳ RD--DSM--- οὗτος
ἠγάπησαν VAI-AAI3P- ἀγαπάω
κινεῖν V2--PAN--- κινέω
πόδας N3D-APM--- πούς
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἐφείσαντο VAI-AMI3P- φείδομαι
καὶ C--------- καί
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
οὐκ D--------- οὐ
εὐδόκησεν VA--AAI3S- εὐδοκέω
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
νῦν D--------- νῦν
μνησθήσεται VS--FPI3S- μιμνήσκω
τῶν RA--GPF--- ὁ
ἀδικιῶν N1A-GPF--- ἀδικία
αὐτῶν RD--GPM--- αὐτός

Jer 14:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
μὴ D--------- μή
προσεύχου V1--PMD2S- εὔχομαι προς
περὶ P--------- περί
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
τούτου RD--GSM--- οὗτος
εἰς P--------- εἰς
ἀγαθά A1--APN--- ἀγαθός

Jer 14:12
ὅτι C--------- ὅτι
ἐὰν C--------- ἐάν
νηστεύσωσιν VA--AAS3P- νηστεύω
οὐκ D--------- οὐ
εἰσακούσομαι VF--FMI1S- ἀκούω εἰς
τῆς RA--GSF--- ὁ
δεήσεως N3I-GSF--- δέησις
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐὰν C--------- ἐάν
προσενέγκωσιν VA--AAS3P- φέρω προς
ὁλοκαυτώματα N3M-APN--- ὁλοκαύτωμα
καὶ C--------- καί
θυσίας N1A-APF--- θυσία
οὐκ D--------- οὐ
εὐδοκήσω VF--FAI1S- εὐδοκέω
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
ὅτι C--------- ὅτι
ἐν P--------- ἐν
μαχαίρᾳ N1A-DSF--- μάχαιρα
καὶ C--------- καί
ἐν P--------- ἐν
λιμῷ N2--DSM--- λιμός
καὶ C--------- καί
ἐν P--------- ἐν
θανάτῳ N2--DSM--- θάνατος
ἐγὼ RP--NS---- ἐγώ
συντελέσω VF--FAI1S- τελέω συν
αὐτούς RD--APM--- αὐτός

Jer 14:13
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
ὦ I--------- ὦ
κύριε N2--VSM--- κύριος
ἰδοὺ I--------- ἰδού
οἱ RA--NPM--- ὁ
προφῆται N1M-NPM--- προφήτης
αὐτῶν RD--GPM--- αὐτός
προφητεύουσιν V1--PAI3P- προφητεύω
καὶ C--------- καί
λέγουσιν V1--PAI3P- λέγω
οὐκ D--------- οὐ
ὄψεσθε VF--FMI2P- ὁράω
μάχαιραν N1A-ASF--- μάχαιρα
οὐδὲ C--------- οὐδέ
λιμὸς N2--NSM--- λιμός
ἔσται VF--FMI3S- εἰμί
ἐν P--------- ἐν
ὑμῖν RP--DP---- σύ
ὅτι C--------- ὅτι
ἀλήθειαν N1A-ASF--- ἀλήθεια
καὶ C--------- καί
εἰρήνην N1--ASF--- εἰρήνη
δώσω VF--FAI1S- δίδωμι
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
τούτῳ RD--DSM--- οὗτος

Jer 14:14
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
ψευδῆ A3H-APN--- ψευδῆς
οἱ RA--NPM--- ὁ
προφῆται N1M-NPM--- προφήτης
προφητεύουσιν V1--PAI3P- προφητεύω
ἐπὶ P--------- ἐπί
τῷ RA--DSN--- ὁ
ὀνόματί N3M-DSN--- ὄνομα
μου RP--GS---- ἐγώ
οὐκ D--------- οὐ
ἀπέστειλα VAI-AAI1S- στέλλω ἀπο
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἐνετειλάμην VAI-AMI1S- τέλλομαι ἐν
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἐλάλησα VAI-AAI1S- λαλέω
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
ὅτι C--------- ὅτι
ὁράσεις N3I-APF--- ὅρασις
ψευδεῖς A3H-APF--- ψευδής
καὶ C--------- καί
μαντείας N1A-APF--- μαντεία
καὶ C--------- καί
οἰωνίσματα N3M-APN--- οἰώνισμα
καὶ C--------- καί
προαιρέσεις N3I-APF--- προαίρεσις
καρδίας N1A-GSF--- καρδία
αὐτῶν RD--GPM--- αὐτός
αὐτοὶ RD--NPM--- αὐτός
προφητεύουσιν V1--PAI3P- προφητεύω
ὑμῖν RP--DP---- σύ

Jer 14:15
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
περὶ P--------- περί
τῶν RA--GPM--- ὁ
προφητῶν N1M-GPM--- προφήτης
τῶν RA--GPM--- ὁ
προφητευόντων V1--PAPGPM προφητεύω
ἐπὶ P--------- ἐπί
τῷ RA--DSN--- ὁ
ὀνόματί N3M-DSN--- ὄνομα
μου RP--GS---- ἐγώ
ψευδῆ A3H-APN--- ψευδής
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
οὐκ D--------- οὐ
ἀπέστειλα VAI-AAI1S- στέλλω ἀπο
αὐτούς RD--APM--- αὐτός
οἳ RR--NPM--- ὅς
λέγουσιν V1--PAI3P- λέγω
μάχαιρα N1A-NSM--- μάχαιρα
καὶ C--------- καί
λιμὸς N2--NSM--- λιμός
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ταύτης RD--GSF--- οὗτος
ἐν P--------- ἐν
θανάτῳ N2--DSM--- θάνατος
νοσερῷ A1A-DSM--- νοσερός
ἀποθανοῦνται VF2-FMI3P- θνήσκω ἀπο
καὶ C--------- καί
ἐν P--------- ἐν
λιμῷ N2--DSM--- λιμός
συντελεσθήσονται VS--FPI3P- τελέω συν
οἱ RA--NPM--- ὁ
προφῆται N1M-NPM--- προφήτης

Jer 14:16
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
οἷς RR--DPM--- ὅς
αὐτοὶ RD--NPM--- αὐτός
προφητεύουσιν V1--PAI3P- προφητεύω
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
ἔσονται VF--FMI3P- εἰμί
ἐρριμμένοι VPI-XPPNPM ῤίπτω
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
διόδοις N2--DPF--- δίοδος
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
μαχαίρας N1A-APF--- μάχαιρα
καὶ C--------- καί
τοῦ RA--GSM--- ὁ
λιμοῦ N2--GSM--- λιμός
καὶ C--------- καί
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
ὁ RA--NSM--- ὁ
θάπτων V1--PAPNSM θάπτω
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
γυναῖκες N3K-NPF--- γυνή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
θυγατέρες N3--NPF--- θυγάτηρ
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐκχεῶ VF2-FAI1S- χέω ἐκ
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
τὰ RA--APN--- ὁ
κακὰ A1--APN--- κακός
αὐτῶν RD--GPM--- αὐτός

Jer 14:17
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
πρὸς P--------- πρός
αὐτοὺς RD--APM--- αὐτός
τὸν RA--ASM--- ὁ
λόγον N2--ASM--- λόγος
τοῦτον RD--ASM--- οὗτος
καταγάγετε VB--AAD2P- ἄγω κατα
ἐπ' P--------- ἐπί
ὀφθαλμοὺς N2--APM--- ὀφθαλμός
ὑμῶν RP--GP---- σύ
δάκρυα N2N-APN--- δάκρυ
ἡμέρας N1A-GSF--- ἡμέρα
καὶ C--------- καί
νυκτός N3--GSF--- νύξ
καὶ C--------- καί
μὴ D--------- μή
διαλιπέτωσαν VB--AAD3P- λείπω δια
ὅτι C--------- ὅτι
συντρίμματι N3M-DSN--- σύντριμμα
συνετρίβη VDI-API3S- τρίβω συν
θυγάτηρ N3--NSF--- θυγάτηρ
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
καὶ C--------- καί
πληγῇ N1--DSF--- πληγή
ὀδυνηρᾷ A1A-DSF--- ὀδυνηρός
σφόδρα D--------- σφόδρα

Jer 14:18
ἐὰν C--------- ἐάν
ἐξέλθω VB--AAS1S- ἔρχομαι ἐκ
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
πεδίον N2N-ASN--- πεδίον
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
τραυματίαι N1T-NPM--- τραυματίας
μαχαίρας N1A-GSF--- μάχαιρα
καὶ C--------- καί
ἐὰν C--------- ἐάν
εἰσέλθω VB--AAS1S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
πόνος N2--NSM--- πόνος
λιμοῦ N2--GSM--- λιμός
ὅτι C--------- ὅτι
ἱερεὺς N3V-NSM--- ἱερεύς
καὶ C--------- καί
προφήτης N1M-NSM--- προφήτης
ἐπορεύθησαν VCI-API3P- πορεύομαι
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
ἣν RR--ASF--- ὅς
οὐκ D--------- οὐ
ᾔδεισαν VXI-YAI3P- οἶδα

Jer 14:19
μὴ D--------- μή
ἀποδοκιμάζων V1--PAPNSM δοκιμάζω ἀπο
ἀπεδοκίμασας VAI-AAI2S- δοκιμάζω ἀπο
τὸν RA--ASM--- ὁ
Ιουδαν N1T-ASM--- Ἰούδας
καὶ C--------- καί
ἀπὸ P--------- ἀπό
Σιων N---GSF--- Σιων
ἀπέστη VHI-AAI3S- ἵστημι ἀπο
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
σου RP--GS---- σύ
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
ἔπαισας VAI-AAI2S- παίζω
ἡμᾶς RP--AP---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἡμῖν RP--DP---- ἐγώ
ἴασις N3I-NSF--- ἴασις
ὑπεμείναμεν VAI-AAI1P- μένω ὑπο
εἰς P--------- εἰς
εἰρήνην N1--ASF--- εἰρήνη
καὶ C--------- καί
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
ἀγαθά A1--NPN--- ἀγαθός
εἰς P--------- εἰς
καιρὸν N2--ASM--- καιρός
ἰάσεως N3I-GSF--- ἴασις
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ταραχή N1--NSF--- ταραχή

Jer 14:20
ἔγνωμεν VZI-AAI1P- γιγνώσκω
κύριε N2--VSM--- κύριος
ἁμαρτήματα N3M-APN--- ἁμάρτημα
ἡμῶν RP--GP---- ἐγώ
ἀδικίας N1A-APF--- ἀδικία
πατέρων N3--GPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
ὅτι C--------- ὅτι
ἡμάρτομεν VBI-AAI1P- ἁμαρτάνω
ἐναντίον P--------- ἐναντίον
σου RP--GS---- σύ

Jer 14:21
κόπασον VA--AAD2S- κοπάζω
διὰ P--------- διά
τὸ RA--ASN--- ὁ
ὄνομά N3M-ASN--- ὄνομα
σου RP--GS---- σύ
μὴ D--------- μή
ἀπολέσῃς VA--AAS2S- ὀλλύω ἀπο
θρόνον N2--ASM--- θρόνος
δόξης N1S-GSF--- δόξα
σου RP--GS---- σύ
μνήσθητι VS--APD2S- μιμνήσκω
μὴ D--------- μή
διασκεδάσῃς VA--AAS2S- σκεδάζω δια
τὴν RA--ASF--- ὁ
διαθήκην N1--ASF--- διαθήκη
σου RP--GS---- σύ
τὴν RA--ASF--- ὁ
μεθ' P--------- μετά
ἡμῶν RP--GP---- ἐγώ

Jer 14:22
μὴ D--------- μή
ἔστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
εἰδώλοις N2N-DPN--- εἴδωλον
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
ὑετίζων V1--PAPNSM ὑετίζω
καὶ C--------- καί
εἰ C--------- εἰ
ὁ RA--NSM--- ὁ
οὐρανὸς N2--NSM--- οὐρανός
δώσει VF--FAI3S- δίδωμι
πλησμονὴν N1--ASF--- πλησμονή
αὐτοῦ RD--GSM--- αὐτός
οὐχὶ D--------- οὐ
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
αὐτός RD--NSM--- αὐτός
καὶ C--------- καί
ὑπομενοῦμέν VF2-FAI1P- μένω ὑπο
σε RP--AS---- σύ
ὅτι C--------- ὅτι
σὺ RP--NS---- σύ
ἐποίησας VAI-AAI2S- ποιέω
πάντα A3--APN--- πᾶς
ταῦτα RD--APN--- οὗτος

Jer 15:1
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
ἐὰν C--------- ἐάν
στῇ VH--AAS3S- ἵστημι
Μωυσῆς N1M-NSM--- Μωυσῆς
καὶ C--------- καί
Σαμουηλ N---NSM--- Σαμουηλ
πρὸ P--------- πρό
προσώπου N2N-GSN--- πρόσωπον
μου RP--GS---- ἐγώ
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
μου RP--GS---- ἐγώ
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
ἐξαπόστειλον VA--AAD2S- στέλλω ἐκ ἀπο
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
τοῦτον RD--ASM--- οὗτος
καὶ C--------- καί
ἐξελθέτωσαν VB--AAD3P- ἔρχομαι ἐκ

Jer 15:2
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ἐὰν C--------- ἐάν
εἴπωσιν VB--AAS3P- εἶπον
πρὸς P--------- πρός
σέ RP--AS---- σύ
ποῦ D--------- ποῦ
ἐξελευσόμεθα VF--FMI1P- ἔρχομαι ἐκ
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ὅσοι A1--NPM--- ὅσος
εἰς P--------- εἰς
θάνατον N2--ASM--- θάνατος
εἰς P--------- εἰς
θάνατον N2--ASM--- θάνατος
καὶ C--------- καί
ὅσοι A1--NPM--- ὅσος
εἰς P--------- εἰς
μάχαιραν N1A-ASF--- μάχαιρα
εἰς P--------- εἰς
μάχαιραν N1A-ASF--- μάχαιρα
καὶ C--------- καί
ὅσοι A1--NPM--- ὅσος
εἰς P--------- εἰς
λιμόν N2--ASM--- λιμός
εἰς P--------- εἰς
λιμόν N2--ASM--- λιμός
καὶ C--------- καί
ὅσοι A1--NPM--- ὅσος
εἰς P--------- εἰς
αἰχμαλωσίαν N1A-ASF--- αἰχμαλωσία
εἰς P--------- εἰς
αἰχμαλωσίαν N1A-ASF--- αἰχμαλωσία

Jer 15:3
καὶ C--------- καί
ἐκδικήσω VF--FAI1S- δικέω ἐκ
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
τέσσαρα A3--APN--- τέσσαρες
εἴδη N3E-APN--- εἶδος
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
τὴν RA--ASF--- ὁ
μάχαιραν N1A-ASF--- μάχαιρα
εἰς P--------- εἰς
σφαγὴν N1--ASF--- σφαγή
καὶ C--------- καί
τοὺς RA--APM--- ὁ
κύνας N3--APM--- κύων
εἰς P--------- εἰς
διασπασμὸν N2--ASM--- διασπασμός
καὶ C--------- καί
τὰ RA--APN--- ὁ
θηρία N2N-APN--- θηρίον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
τὰ RA--APN--- ὁ
πετεινὰ N2N-APN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
εἰς P--------- εἰς
βρῶσιν N3I-ASF--- βρῶσις
καὶ C--------- καί
εἰς P--------- εἰς
διαφθοράν N1A-ASF--- διαφθορά

Jer 15:4
καὶ C--------- καί
παραδώσω VF--FAI1S- δίδωμι παρα
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
ἀνάγκας N1--APF--- ἀνάγκη
πάσαις A1S-DPF--- πᾶς
ταῖς RA--DPF--- ὁ
βασιλείαις N1A-DPF--- βασιλεία
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
διὰ P--------- διά
Μανασση N---ASM--- Μανασσή
υἱὸν N2--ASM--- υἱός
Εζεκιου N1T-GSM--- Εζεκιας
βασιλέα N3V-ASM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα
περὶ P--------- περί
πάντων A3--GPM--- πᾶς
ὧν RR--GPM--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ

Jer 15:5
τίς RI--NSM--- τίς
φείσεται VF--FMI3S- φείδομαι
ἐπὶ P--------- ἐπί
σοί RP--DS---- σύ
Ιερουσαλημ N---VSF--- Ἰερουσαλήμ
καὶ C--------- καί
τίς RI--NSM--- τίς
δειλιάσει VF--FAI3S- δειλιάω
ἐπὶ P--------- ἐπί
σοί RP--DS---- σύ
ἢ C--------- ἤ
τίς RI--NSM--- τίς
ἀνακάμψει VF--FAI3S- κάμπτω ἀνα
εἰς P--------- εἰς
εἰρήνην N1--ASF--- εἰρήνη
σοι RP--DS---- σύ

Jer 15:6
σὺ RP--NS---- σύ
ἀπεστράφης VDI-API2S- στρέφω ἀπο
με RP--AS---- ἐγώ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
