Ezek 25:1
θεε N---ASN--- θεε
τὸ RA--ASN--- ὁ
δεύτερον A1A-ASN--- δεύτερος
ἴσον A1--ASM--- ἴσος
τῷ RA--DSM--- ὁ
καλάμῳ N2--DSM--- κάλαμος
τὸ RA--ASN--- ὁ
πλάτος N3E-ASN--- πλάτος
καὶ C--------- καί
ἴσον A1--ASM--- ἴσος
τῷ RA--DSM--- ὁ
καλάμῳ N2--DSM--- κάλαμος
τὸ RA--ASN--- ὁ
μῆκος N3E-ASN--- μῆκος
καὶ C--------- καί
τὸ RA--ASN--- ὁ
αιλαμ N---ASN--- αιλαμ
πήχεων N3U-GPM--- πῆχυς
πέντε M--------- πέντε

Ezek 40:8
καὶ C--------- καί
τὸ RA--ASN--- ὁ
θεε N---ASN--- θεε
τὸ RA--ASN--- ὁ
τρίτον A1--ASN--- τρίτος
ἴσον A1--ASM--- ἴσος
τῷ RA--DSM--- ὁ
καλάμῳ N2--DSM--- κάλαμος
τὸ RA--ASN--- ὁ
πλάτος N3E-ASN--- πλάτος
καὶ C--------- καί
ἴσον A1--ASM--- ἴσος
τῷ RA--DSM--- ὁ
καλάμῳ N2--DSM--- κάλαμος
τὸ RA--ASN--- ὁ
μῆκος N3E-ASN--- μῆκος

Ezek 40:9
καὶ C--------- καί
τὸ RA--ASN--- ὁ
αιλαμ N---ASN--- αιλαμ
τοῦ RA--GSM--- ὁ
πυλῶνος N3W-GSM--- πυλών
πλησίον D--------- πλησίον
τοῦ RA--GSN--- ὁ
αιλαμ N---GSN--- αιλαμ
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
πηχῶν N3V-DPM--- πηχύς
ὀκτὼ M--------- ὀκτώ
καὶ C--------- καί
τὰ RA--APN--- ὁ
αιλευ N---APN--- αιλευ
πηχῶν N3V-DPM--- πηχύς
δύο M--------- δύο
καὶ C--------- καί
τὸ RA--ASN--- ὁ
αιλαμ N---ASN--- αιλαμ
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
ἔσωθεν D--------- ἔσωθεν

Ezek 40:10
καὶ C--------- καί
τὰ RA--APN--- ὁ
θεε N---APN--- θεε
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
θεε N---ASN--- θεε
κατέναντι D--------- κατέναντι
τρεῖς A3--NPM--- τρεῖς
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
τρεῖς A3--NPM--- τρεῖς
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
μέτρον N2N-ASN--- μέτρον
ἓν A3--ASN--- εἷς
τοῖς RA--DPM--- ὁ
τρισὶν A3--DPM--- τρεῖς
καὶ C--------- καί
μέτρον N2N-ASN--- μέτρον
ἓν A3--ASN--- εἷς
τοῖς RA--DPN--- ὁ
αιλαμ N---DPN--- αιλαμ
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
ἔνθεν D--------- ἔνθεν

Ezek 40:11
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
τὸ RA--ASN--- ὁ
πλάτος N3E-ASN--- πλάτος
τῆς RA--GSF--- ὁ
θύρας N1A-GSF--- θύρα
τοῦ RA--GSM--- ὁ
πυλῶνος N3W-GSM--- πυλών
πηχῶν N3V-DPM--- πηχύς
δέκα M--------- δέκα
καὶ C--------- καί
τὸ RA--ASN--- ὁ
εὖρος N3E-ASN--- εὖρος
τοῦ RA--GSM--- ὁ
πυλῶνος N3W-GSM--- πυλών
πηχῶν N3V-DPM--- πηχύς
δέκα M--------- δέκα
τριῶν A3--GPM--- τρεῖς

Ezek 40:12
καὶ C--------- καί
πῆχυς N3U-NSM--- πῆχυς
ἐπισυναγόμενος V1--PMPNSM ἄγω ἐπι συν
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
τῶν RA--GPM--- ὁ
θεϊμ N---GPN--- θείμ
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
τὸ RA--ASN--- ὁ
θεε N---ASN--- θεε
πηχῶν N3V-DPM--- πηχύς
ἓξ M--------- ἕξ
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
πηχῶν N3V-DPM--- πηχύς
ἓξ M--------- ἕξ
ἔνθεν D--------- ἔνθεν

Ezek 40:13
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
τὴν RA--ASF--- ὁ
πύλην N1--ASF--- πύλη
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
τοίχου N2--GSM--- τοῖχος
τοῦ RA--GSN--- ὁ
θεε N---GSN--- θεε
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
τοῖχον N2--ASM--- τοῖχος
τοῦ RA--GSN--- ὁ
θεε N---GSN--- θεε
πλάτος N3E-ASN--- πλάτος
πήχεις N3U-NPM--- πῆχυς
εἴκοσι M--------- εἴκοσι
πέντε M--------- πέντε
αὕτη RD--NSF--- οὗτος
πύλη N1--NSF--- πύλη
ἐπὶ P--------- ἐπί
πύλην N1--ASF--- πύλη

Ezek 40:14
καὶ C--------- καί
τὸ RA--ASN--- ὁ
αἴθριον A1B-ASN--- αἴθριος
τοῦ RA--GSN--- ὁ
αιλαμ N---GSN--- αιλαμ
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
ἑξήκοντα M--------- ἑξήκοντα
πήχεις N3U-NPM--- πῆχυς
εἴκοσι M--------- εἴκοσι
θεϊμ N---NPN--- θείμ
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
κύκλῳ N2--DSM--- κύκλος

Ezek 40:15
καὶ C--------- καί
τὸ RA--ASN--- ὁ
αἴθριον A1B-ASN--- αἴθριος
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
ἔξωθεν D--------- ἔξωθεν
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
αἴθριον A1B-ASN--- αἴθριος
αιλαμ N---ASN--- αιλαμ
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
ἔσωθεν D--------- ἔσωθεν
πηχῶν N3V-DPM--- πηχύς
πεντήκοντα M--------- πεντήκοντα

Ezek 40:16
καὶ C--------- καί
θυρίδες N3D-NPF--- θυρίς
κρυπταὶ A1--NPF--- κρυπτός
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
θεϊμ N---APN--- θεϊμ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
αιλαμ N---APN--- αιλαμ
ἔσωθεν D--------- ἔσωθεν
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
αὐλῆς N1--GSF--- αὐλή
κυκλόθεν D--------- κυκλόθεν
καὶ C--------- καί
ὡσαύτως D--------- ὡσαύτως
τοῖς RA--DPN--- ὁ
αιλαμ N---DPN--- αιλαμ
θυρίδες N3D-NPF--- θυρίς
κύκλῳ N2--DSM--- κύκλος
ἔσωθεν D--------- ἔσωθεν
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
αιλαμ N---ASN--- αιλαμ
φοίνικες N3K-NPM--- φοῖνιξ
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
ἔνθεν D--------- ἔνθεν

Ezek 40:17
καὶ C--------- καί
εἰσήγαγέν VBI-AAI3S- ἄγω εἰς
με RP--AS---- ἐγώ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αὐλὴν N1--ASF--- αὐλή
τὴν RA--ASF--- ὁ
ἐσωτέραν A1A-ASF--- ἐσώτερος
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
παστοφόρια N2N-NPN--- παστοφόριον
καὶ C--------- καί
περίστυλα N2N-NPN--- περίστυλον
κύκλῳ N2--DSM--- κύκλος
τῆς RA--GSF--- ὁ
αὐλῆς N1--GSF--- αὐλή
τριάκοντα M--------- τριάκοντα
παστοφόρια N2N-NPN--- παστοφόριον
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
περιστύλοις N2N-DPN--- περίστυλον

Ezek 40:18
καὶ C--------- καί
αἱ RA--NPF--- ὁ
στοαὶ N1A-NPF--- στοά
κατὰ P--------- κατά
νώτου N2N-GSN--- νῶτον
τῶν RA--GPF--- ὁ
πυλῶν N1--GPF--- πύλη
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
μῆκος N3E-ASN--- μῆκος
τῶν RA--GPF--- ὁ
πυλῶν N1--GPF--- πύλη
τὸ RA--ASN--- ὁ
περίστυλον N2N-ASN--- περίστυλον
τὸ RA--ASN--- ὁ
ὑποκάτω P--------- ὑποκάτω

Ezek 40:19
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
τὸ RA--ASN--- ὁ
πλάτος N3E-ASN--- πλάτος
τῆς RA--GSF--- ὁ
αὐλῆς N1--GSF--- αὐλή
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
αἰθρίου A1B-GSN--- αἴθριος
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
ἐξωτέρας A1A-GSF--- ἐξώτερος
ἔσωθεν D--------- ἔσωθεν
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
αἴθριον A1B-ASN--- αἴθριος
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
βλεπούσης V1--PAPGSF βλέπω
ἔξω D--------- ἔξω
πήχεις N3U-NPM--- πῆχυς
ἑκατόν M--------- ἑκατόν
τῆς RA--GSF--- ὁ
βλεπούσης V1--PAPGSF βλέπω
κατ' P--------- κατά
ἀνατολάς N1--APF--- ἀνατολή
καὶ C--------- καί
εἰσήγαγέν VBI-AAI3S- ἄγω εἰς
με RP--AS---- ἐγώ
ἐπὶ P--------- ἐπί
βορρᾶν N1T-ASM--- βορέας

Ezek 40:20
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
πύλη N1--NSF--- πύλη
βλέπουσα V1--PAPNSF βλέπω
πρὸς P--------- πρός
βορρᾶν N1T-ASM--- βορέας
τῇ RA--DSF--- ὁ
αὐλῇ N1--DSF--- αὐλή
τῇ RA--DSF--- ὁ
ἐξωτέρᾳ A1A-DSF--- ἐξώτερος
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
αὐτήν RD--ASF--- αὐτός
τό RA--ASN--- ὁ
τε X--------- τε
μῆκος N3E-ASN--- μῆκος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
πλάτος N3E-ASN--- πλάτος

Ezek 40:21
καὶ C--------- καί
τὰ RA--NPN--- ὁ
θεε N---NPN--- θεε
τρεῖς A3--NPN--- τρεῖς
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
τρεῖς A3--NPN--- τρεῖς
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
τὰ RA--NPN--- ὁ
αιλευ N---NPN--- αιλευ
καὶ C--------- καί
τὰ RA--NPN--- ὁ
αιλαμμω N---NPN--- αιλαμμω
καὶ C--------- καί
τοὺς RA--APM--- ὁ
φοίνικας N3K-APM--- φοῖνιξ
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
μέτρα N2N-APN--- μέτρον
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
βλεπούσης V1--PAPGSF βλέπω
κατὰ P--------- κατά
ἀνατολὰς N1--APF--- ἀνατολή
πηχῶν N3V-DPM--- πηχύς
πεντήκοντα M--------- πεντήκοντα
τὸ RA--ASN--- ὁ
μῆκος N3E-ASN--- μῆκος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
πηχῶν N3V-DPM--- πηχύς
εἴκοσι M--------- εἴκοσι
πέντε M--------- πέντε
τὸ RA--ASN--- ὁ
εὖρος N3E-ASN--- εὖρος
αὐτῆς RD--GSF--- αὐτός

Ezek 40:22
καὶ C--------- καί
αἱ RA--NPF--- ὁ
θυρίδες N3D-NPF--- θυρίς
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
αιλαμμω N---APN--- αιλαμμω
καὶ C--------- καί
οἱ RA--NPM--- ὁ
φοίνικες N3K-NPM--- φοῖνιξ
αὐτῆς RD--GSF--- αὐτός
καθὼς D--------- καθώς
ἡ RA--NSF--- ὁ
πύλη N1--NSF--- πύλη
ἡ RA--NSF--- ὁ
βλέπουσα V1--PAPNSF βλέπω
κατὰ P--------- κατά
ἀνατολάς N1--APF--- ἀνατολή
καὶ C--------- καί
ἐν P--------- ἐν
ἑπτὰ M--------- ἑπτά
κλιμακτῆρσιν N3H-DPM--- κλιμακτήρ
ἀνέβαινον V1I-IAI3P- βαίνω ἀνα
ἐπ' P--------- ἐπί
αὐτήν RD--ASF--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
αιλαμμω N---APN--- αιλαμμω
ἔσωθεν D--------- ἔσωθεν

Ezek 40:23
καὶ C--------- καί
πύλη N1--NSF--- πύλη
τῇ RA--DSF--- ὁ
αὐλῇ N1--DSF--- αὐλή
τῇ RA--DSF--- ὁ
ἐσωτέρᾳ A1A-DSF--- ἐσώτερος
βλέπουσα V1--PAPNSF βλέπω
ἐπὶ P--------- ἐπί
πύλην N1--ASF--- πύλη
τοῦ RA--GSM--- ὁ
βορρᾶ N1T-GSM--- βορέας
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
βλεπούσης V1--PAPGSF βλέπω
κατὰ P--------- κατά
ἀνατολάς N1--APF--- ἀνατολή
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
τὴν RA--ASF--- ὁ
αὐλὴν N1--ASF--- αὐλή
ἀπὸ P--------- ἀπό
πύλης N1--GSF--- πύλη
ἐπὶ P--------- ἐπί
πύλην N1--ASF--- πύλη
πήχεις N3U-NPM--- πῆχυς
ἑκατόν M--------- ἑκατόν

Ezek 40:24
καὶ C--------- καί
ἤγαγέν VBI-AAI3S- ἄγω
με RP--AS---- ἐγώ
κατὰ P--------- κατά
νότον N2--ASM--- νότος
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
πύλη N1--NSF--- πύλη
βλέπουσα V1--PAPNSF βλέπω
πρὸς P--------- πρός
νότον N2--ASM--- νότος
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
θεε N---APN--- θεε
καὶ C--------- καί
τὰ RA--APN--- ὁ
αιλευ N---APN--- αιλευ
καὶ C--------- καί
τὰ RA--APN--- ὁ
αιλαμμω N---APN--- αιλαμμω
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
μέτρα N2N-APN--- μέτρον
ταῦτα RD--APN--- οὗτος

Ezek 40:25
καὶ C--------- καί
αἱ RA--NPF--- ὁ
θυρίδες N3D-NPF--- θυρίς
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὰ RA--NPN--- ὁ
αιλαμμω N---NPN--- αιλαμμω
κυκλόθεν D--------- κυκλόθεν
καθὼς D--------- καθώς
αἱ RA--NPF--- ὁ
θυρίδες N3D-NPF--- θυρίς
τοῦ RA--GSN--- ὁ
αιλαμ N---GSN--- αιλαμ
πηχῶν N3V-DPM--- πηχύς
πεντήκοντα M--------- πεντήκοντα
τὸ RA--ASN--- ὁ
μῆκος N3E-ASN--- μῆκος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
πηχῶν N3V-DPM--- πηχύς
εἴκοσι M--------- εἴκοσι
πέντε M--------- πέντε
τὸ RA--ASN--- ὁ
εὖρος N3E-ASN--- εὖρος
αὐτῆς RD--GSF--- αὐτός

Ezek 40:26
καὶ C--------- καί
ἑπτὰ M--------- ἑπτά
κλιμακτῆρες N3H-NPM--- κλιμακτήρ
αὐτῇ RD--DSF--- αὐτός
καὶ C--------- καί
αιλαμμω N---NPN--- αιλαμμω
ἔσωθεν D--------- ἔσωθεν
καὶ C--------- καί
φοίνικες N3K-NPM--- φοῖνιξ
αὐτῇ RD--DSF--- αὐτός
εἷς A3--NSM--- εἷς
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
εἷς A3--NSM--- εἷς
ἔνθεν D--------- ἔνθεν
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
αιλευ N---APN--- αιλευ

Ezek 40:27
καὶ C--------- καί
πύλη N1--NSF--- πύλη
κατέναντι D--------- κατέναντι
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
αὐλῆς N1--GSF--- αὐλή
τῆς RA--GSF--- ὁ
ἐσωτέρας A1A-GSF--- ἐσώτερος
πρὸς P--------- πρός
νότον N2--ASM--- νότος
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
τὴν RA--ASF--- ὁ
αὐλὴν N1--ASF--- αὐλή
ἀπὸ P--------- ἀπό
πύλης N1--GSF--- πύλη
ἐπὶ P--------- ἐπί
πύλην N1--ASF--- πύλη
πήχεις N3U-NPM--- πῆχυς
ἑκατὸν M--------- ἑκατόν
τὸ RA--ASN--- ὁ
εὖρος N3E-ASN--- εὖρος
πρὸς P--------- πρός
νότον N2--ASM--- νότος

Ezek 40:28
καὶ C--------- καί
εἰσήγαγέν VBI-AAI3S- ἄγω εἰς
με RP--AS---- ἐγώ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αὐλὴν N1--ASF--- αὐλή
τὴν RA--ASF--- ὁ
ἐσωτέραν A1A-ASF--- ἐσώτερος
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
πρὸς P--------- πρός
νότον N2--ASM--- νότος
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
τὴν RA--ASF--- ὁ
πύλην N1--ASF--- πύλη
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
μέτρα N2N-APN--- μέτρον
ταῦτα RD--APN--- οὗτος

Ezek 40:29
καὶ C--------- καί
τὰ RA--APN--- ὁ
θεε N---APN--- θεε
καὶ C--------- καί
τὰ RA--APN--- ὁ
αιλευ N---APN--- αιλευ
καὶ C--------- καί
τὰ RA--APN--- ὁ
αιλαμμω N---APN--- αιλαμμω
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
μέτρα N2N-APN--- μέτρον
ταῦτα RD--APN--- οὗτος
καὶ C--------- καί
θυρίδες N3D-NPF--- θυρίς
αὐτῇ RD--DSF--- αὐτός
καὶ C--------- καί
τῷ RA--DSN--- ὁ
αιλαμμω N---DSN--- αιλαμμω
κύκλῳ N2--DSM--- κύκλος
πήχεις N3U-NPM--- πῆχυς
πεντήκοντα M--------- πεντήκοντα
τὸ RA--ASN--- ὁ
μῆκος N3E-ASN--- μῆκος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
εὖρος N3E-ASN--- εὖρος
πήχεις N3U-NPM--- πῆχυς
εἴκοσι M--------- εἴκοσι
πέντε M--------- πέντε

Ezek 40:31
καὶ C--------- καί
αιλαμμω N---NSN--- αιλαμμω
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αὐλὴν N1--ASF--- αὐλή
τὴν RA--ASF--- ὁ
ἐξωτέραν A1A-ASF--- ἐξώτερος
καὶ C--------- καί
φοίνικες N3K-NPM--- φοῖνιξ
τῷ RA--DSN--- ὁ
αιλευ N---DSN--- αιλευ
καὶ C--------- καί
ὀκτὼ M--------- ὀκτώ
κλιμακτῆρες N3H-NPM--- κλιμακτήρ

Ezek 40:32
καὶ C--------- καί
εἰσήγαγέν VBI-AAI3S- ἄγω εἰς
με RP--AS---- ἐγώ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
πύλην N1--ASF--- πύλη
τὴν RA--ASF--- ὁ
βλέπουσαν V1--PAPASF βλέπω
κατὰ P--------- κατά
ἀνατολὰς N1--APF--- ἀνατολή
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
αὐτὴν RD--ASF--- αὐτός
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
μέτρα N2N-APN--- μέτρον
ταῦτα RD--APN--- οὗτος

Ezek 40:33
καὶ C--------- καί
τὰ RA--APN--- ὁ
θεε N---APN--- θεε
καὶ C--------- καί
τὰ RA--APN--- ὁ
αιλευ N---APN--- αιλευ
καὶ C--------- καί
τὰ RA--APN--- ὁ
αιλαμμω N---APN--- αιλαμμω
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
μέτρα N2N-APN--- μέτρον
ταῦτα RD--APN--- οὗτος
καὶ C--------- καί
θυρίδες N3D-NPF--- θυρίς
αὐτῇ RD--DSF--- αὐτός
καὶ C--------- καί
τῷ RA--DSN--- ὁ
αιλαμμω N---DSN--- αιλαμμω
κύκλῳ N2--DSM--- κύκλος
πήχεις N3U-NPM--- πῆχυς
πεντήκοντα M--------- πεντήκοντα
μῆκος N3E-ASN--- μῆκος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
εὖρος N3E-ASN--- εὖρος
πήχεις N3U-NPM--- πῆχυς
εἴκοσι M--------- εἴκοσι
πέντε M--------- πέντε

Ezek 40:34
καὶ C--------- καί
αιλαμμω N---NSN--- αιλαμμω
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αὐλὴν N1--ASF--- αὐλή
τὴν RA--ASF--- ὁ
ἐσωτέραν A1A-ASF--- ἐσώτερος
καὶ C--------- καί
φοίνικες N3K-NPM--- φοῖνιξ
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
αιλευ N---GSN--- αιλευ
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
ὀκτὼ M--------- ὀκτώ
κλιμακτῆρες N3H-NPM--- κλιμακτήρ
αὐτῇ RD--DSF--- αὐτός

Ezek 40:35
καὶ C--------- καί
εἰσήγαγέν VBI-AAI3S- ἄγω εἰς
με RP--AS---- ἐγώ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
πύλην N1--ASF--- πύλη
τὴν RA--ASF--- ὁ
πρὸς P--------- πρός
βορρᾶν N1T-ASM--- βορέας
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
μέτρα N2N-APN--- μέτρον
ταῦτα RD--APN--- οὗτος

Ezek 40:36
καὶ C--------- καί
τὰ RA--APN--- ὁ
θεε N---APN--- θεε
καὶ C--------- καί
τὰ RA--APN--- ὁ
αιλευ N---APN--- αιλευ
καὶ C--------- καί
τὰ RA--APN--- ὁ
αιλαμμω N---APN--- αιλαμμω
καὶ C--------- καί
θυρίδες N3D-NPF--- θυρίς
αὐτῇ RD--DSF--- αὐτός
κύκλῳ N2--DSM--- κύκλος
καὶ C--------- καί
τῷ RA--DSN--- ὁ
αιλαμμω N---DSN--- αιλαμμω
αὐτῆς RD--GSF--- αὐτός
πήχεις N3U-NPM--- πῆχυς
πεντήκοντα M--------- πεντήκοντα
μῆκος N3E-ASN--- μῆκος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
εὖρος N3E-ASN--- εὖρος
πήχεις N3U-NPM--- πῆχυς
εἴκοσι M--------- εἴκοσι
πέντε M--------- πέντε

Ezek 40:37
καὶ C--------- καί
τὰ RA--APN--- ὁ
αιλαμμω N---APN--- αιλαμμω
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αὐλὴν N1--ASF--- αὐλή
τὴν RA--ASF--- ὁ
ἐξωτέραν A1A-ASF--- ἐξώτερος
καὶ C--------- καί
φοίνικες N3K-NPM--- φοῖνιξ
τῷ RA--DSN--- ὁ
αιλευ N---DSN--- αιλευ
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
ὀκτὼ M--------- ὀκτώ
κλιμακτῆρες N3H-NPM--- κλιμακτήρ
αὐτῇ RD--DSF--- αὐτός

Ezek 40:38
τὰ RA--APN--- ὁ
παστοφόρια N2N-APN--- παστοφόριον
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
θυρώματα N3M-APN--- θύρωμα
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
αιλαμμω N---APN--- αιλαμμω
αὐτῆς RD--GSF--- αὐτός
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη

Ezek 40:39
τῆς RA--GSF--- ὁ
δευτέρας A1A-GSF--- δεύτερος
ἔκρυσις N3I-NSF--- ἔκρυσις
ὅπως C--------- ὅπως
σφάζωσιν V1--PAS3P- σφάζω
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
τὰ RA--APN--- ὁ
ὑπὲρ P--------- ὑπέρ
ἁμαρτίας N1A-GSF--- ἁμαρτία
καὶ C--------- καί
ὑπὲρ P--------- ὑπέρ
ἀγνοίας N1A-GSF--- ἄγνοια

Ezek 40:40
καὶ C--------- καί
κατὰ P--------- κατά
νώτου N2N-GSN--- νῶτον
τοῦ RA--GSM--- ὁ
ῤόακος N3K-GSF--- ῤόαξ
τῶν RA--GPN--- ὁ
ὁλοκαυτωμάτων N3M-GPN--- ὁλοκαύτωμα
τῆς RA--GSF--- ὁ
βλεπούσης V1--PAPGSF βλέπω
πρὸς P--------- πρός
βορρᾶν N1T-ASM--- βορέας
δύο M--------- δύο
τράπεζαι N1S-NPF--- τράπεζα
πρὸς P--------- πρός
ἀνατολὰς N1--APF--- ἀνατολή
καὶ C--------- καί
κατὰ P--------- κατά
νώτου N2N-GSN--- νῶτον
τῆς RA--GSF--- ὁ
δευτέρας A1A-GSF--- δεύτερος
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
αιλαμ N---GSN--- αιλαμ
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
δύο M--------- δύο
τράπεζαι N1S-NPF--- τράπεζα
κατὰ P--------- κατά
ἀνατολάς N1--APF--- ἀνατολή

Ezek 40:41
τέσσαρες A3--NPM--- τέσσαρες
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
τέσσαρες A3--NPM--- τέσσαρες
ἔνθεν D--------- ἔνθεν
κατὰ P--------- κατά
νώτου N2N-GSN--- νῶτον
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
ἐπ' P--------- ἐπί
αὐτὰς RD--APF--- αὐτός
σφάξουσι VF--FAI3P- σφάζω
τὰ RA--APN--- ὁ
θύματα N3M-APN--- θῦμα
κατέναντι D--------- κατέναντι
τῶν RA--GPF--- ὁ
ὀκτὼ M--------- ὀκτώ
τραπεζῶν N1S-GPF--- τράπεζα
τῶν RA--GPN--- ὁ
θυμάτων N3M-GPN--- θῦμα

Ezek 40:42
καὶ C--------- καί
τέσσαρες A3--NPF--- τέσσαρες
τράπεζαι N1S-NPF--- τράπεζα
τῶν RA--GPN--- ὁ
ὁλοκαυτωμάτων N3M-GPN--- ὁλοκαύτωμα
λίθιναι A1--NPF--- λίθινος
λελαξευμέναι VM--XMPNPF λαξεύω
πήχεος N3U-GSM--- πῆχυς
καὶ C--------- καί
ἡμίσους A3U-GSM--- ἥμισυς
τὸ RA--ASN--- ὁ
πλάτος N3E-ASN--- πλάτος
καὶ C--------- καί
πήχεων N3U-GPM--- πῆχυς
